date,atm_iv_10d,atm_iv_30d,term_slope,rr_25d,bfly_25d,smile_slope,atm_iv_60d,term_curv,rv30_ann,ivvar_30d,vrp_30d,vix_close,vix_open,vix_high,vix_low,vix9d_close,vix9d_open,vix9d_high,vix9d_low,vvix,vix_ret1,vix_ma5,vix_ma20,vix9d_ret1,vix9d_ma5,vix9d_ma20,vix_var,vrp_30d_vix,ivrv_ratio_vix,vix_minus_atmiv30,atmiv_to_vix_ratio
2022-01-03,0.10948150000000001,0.1253695,0.015887999999999985,0.06313699999999998,0.011037999999999992,0.042832499999999996,0.1453325,0.004075000000000023,,0.01571751153025,,16.6,17.6,18.54,16.56,16.6,17.6,18.54,16.56,108.45,0.0,,,0.0,,,0.027556000000000004,,,0.040630500000000014,0.7552379518072289
2022-01-04,0.109268,0.1258285,0.016560500000000006,0.06295700000000001,0.011164000000000007,0.04300949999999998,0.14598699999999998,0.0035979999999999623,,0.015832811412250004,,16.91,16.57,17.81,16.34,16.91,16.57,17.81,16.34,109.31,0.0,,,0.0,,,0.028594810000000002,,,0.04327149999999999,0.7441070372560615
2022-01-05,0.152113,0.1573875,0.005274500000000015,0.07867600000000002,0.008799499999999988,0.0504135,0.16771999999999998,0.005057999999999951,,0.024770825156250006,,19.73,17.07,20.17,16.58,19.73,17.07,20.17,16.58,119.31,0.0,17.976000000000003,,0.0,17.976000000000003,,0.03892729,,,0.03991249999999999,0.7977065382665991
2022-01-06,0.1483875,0.15885549999999998,0.010467999999999977,0.07968699999999998,0.008137000000000005,0.04820450000000001,0.16847600000000001,-0.0008474999999999455,,0.025235069880249993,,19.61,20.29,21.06,19.08,19.61,20.29,21.06,19.08,117.82,0.0,19.118000000000002,,0.0,19.118000000000002,,0.03845521,,,0.037244500000000014,0.8100739418663946
2022-01-07,0.13602999999999998,0.152895,0.01686500000000002,0.073152,0.007406999999999997,0.044796,0.16462549999999998,-0.005134500000000042,,0.023376881025,,18.76,19.85,20.8,18.57,18.76,19.85,20.8,18.57,113.86,0.0,19.294,,0.0,19.294,,0.035193760000000004,,,0.034705000000000014,0.815005330490405
2022-01-10,0.15054,0.1567235,0.006183499999999981,0.07544899999999999,0.007915000000000005,0.0454165,0.16582550000000001,0.002918500000000046,,0.024562255452249996,,19.4,19.58,23.33,19.29,19.4,19.58,23.33,19.29,113.02,0.0,19.186,,0.0,19.186,,0.03763599999999999,,,0.03727649999999999,0.8078530927835051
2022-01-11,0.141575,0.148289,0.006713999999999998,0.071814,0.009655999999999998,0.045512,0.1581955,0.003192499999999987,,0.021989627521,,18.41,19.62,21.0,18.2,18.41,19.62,21.0,18.2,111.61,0.0,18.875999999999998,,0.0,18.875999999999998,,0.03389281,,,0.03581100000000001,0.8054807170016295
2022-01-12,0.1330405,0.1435125,0.010471999999999981,0.067842,0.009480500000000003,0.04348750000000001,0.1552615,0.0012770000000000281,,0.020595837656249998,,17.62,18.17,18.69,17.36,17.62,18.17,18.69,17.36,113.94,0.0,18.292,,0.0,18.292,,0.03104644000000001,,,0.032687500000000036,0.8144863791146423
2022-01-13,0.16848000000000002,0.16992800000000002,0.0014480000000000048,0.079043,0.006492499999999957,0.04637299999999997,0.1743205,0.002944499999999961,,0.02887552518400001,,20.31,18.06,20.61,17.45,20.31,18.06,20.61,17.45,123.44,0.0,18.854,,0.0,18.854,,0.04124960999999999,,,0.03317199999999995,0.8366715903495817
2022-01-14,0.1523065,0.160201,0.007894499999999999,0.07383899999999999,0.006436499999999984,0.04336899999999999,0.16751149999999998,-0.0005840000000000289,,0.025664360401000005,,19.19,20.11,22.07,19.05,19.19,20.11,22.07,19.05,117.57,0.0,19.324,18.654,0.0,19.324,18.654,0.03682561000000001,,,0.031699000000000005,0.8348150078165711
2022-01-18,0.215093,0.199038,-0.016055000000000014,0.08141299999999999,0.004536499999999999,0.04520200000000002,0.19558399999999998,0.012601000000000001,,0.039616125444,,22.79,21.18,23.2,21.18,22.79,21.18,23.2,21.18,127.95,0.0,20.854000000000003,19.273000000000003,0.0,20.854000000000003,19.273000000000003,0.05193841,,,0.028862,0.8733567354102677
2022-01-19,0.2138025,0.204149,-0.00965350000000001,0.08146599999999998,0.0045550000000000035,0.045226000000000016,0.200922,0.006426500000000002,,0.041676814201,,23.85,23.12,23.99,21.85,23.85,23.12,23.99,21.85,129.85,0.0,22.494,19.967000000000002,0.0,22.494,19.967000000000002,0.05688225000000001,,,0.03435100000000002,0.8559706498951781
2022-01-20,0.22635899999999998,0.217257,-0.009101999999999971,0.08484599999999998,0.005038999999999988,0.049633999999999984,0.21300750000000002,0.004852499999999982,,0.047200604049000006,,25.59,23.46,25.89,21.68,25.59,23.46,25.89,21.68,135.6,0.0,24.334,20.553,0.0,24.334,20.553,0.06548481,,,0.03864300000000001,0.848991793669402
2022-01-21,0.26631099999999996,0.2438055,-0.022505499999999956,0.08416700000000002,0.005066000000000015,0.0744515,0.2315305,0.01023049999999992,,0.05944112183025001,,28.85,25.38,29.79,25.31,28.85,25.38,29.79,25.31,149.5,0.0,26.546000000000003,21.477,0.0,26.546000000000003,21.477,0.08323225000000002,,,0.044694500000000026,0.8450797227036394
2022-01-24,0.2961415,0.248997,-0.047144500000000006,0.09925099999999998,0.006568500000000005,0.05683400000000002,0.2352445,0.03339200000000003,0.044655483215543,0.061999506009,0.017344022793456995,29.9,28.2,38.94,28.02,29.9,28.2,38.94,28.02,154.38,0.0,28.618000000000002,22.591,0.0,28.618000000000002,22.591,0.089401,0.04474551678445699,2.0020161817190383,0.05000299999999999,0.8327658862876255
2022-01-25,0.3134745,0.2628865,-0.050587999999999966,0.10468699999999997,0.005104999999999971,0.0570485,0.2454695,0.03317099999999995,0.05104814655609719,0.06910931188225002,0.018061165326152824,31.16,32.29,35.85,29.13,31.16,32.29,35.85,29.13,150.8,0.0,30.194,23.767000000000003,0.0,30.194,23.767000000000003,0.09709456,0.046046413443902805,1.9020193004128378,0.048713499999999965,0.8436665596919128
2022-01-26,0.304965,0.2614515,-0.04351349999999998,0.10206599999999999,0.006356499999999987,0.05872250000000001,0.244975,0.027036999999999978,0.05838527388654152,0.06835688685225,0.009971612965708476,31.96,29.35,33.04,26.9,31.96,29.35,33.04,26.9,148.55,0.0,31.227999999999998,25.122000000000003,0.0,31.227999999999998,25.122000000000003,0.10214416,0.043758886113458476,1.749484984835284,0.05814849999999999,0.8180585106382979
2022-01-27,0.297306,0.26211949999999995,-0.035186500000000065,0.100304,0.004919500000000077,0.05557850000000003,0.245932,0.018999000000000155,0.06257674717637125,0.06870663228024998,0.006129885103878727,30.49,32.19,33.0,28.42,30.49,32.19,33.0,28.42,141.14,0.0,31.212,26.409000000000002,0.0,31.212,26.409000000000002,0.09296401,0.030387262823628747,1.485599910426518,0.042780500000000055,0.8596900623155131
2022-01-28,0.24105,0.2278615,-0.013188499999999992,0.08844999999999997,0.008622500000000005,0.05183150000000003,0.2206125,0.0059394999999999865,0.067320658741535,0.05192086318225,-0.015399795559285008,27.66,30.27,32.82,27.28,27.66,30.27,32.82,27.28,132.44,0.0,29.651999999999997,27.144,0.0,29.651999999999997,27.144,0.07650756,0.009186901258464997,1.1364648152617813,0.04873850000000002,0.8237942877801879
